Time,Category,Price,ID,Fee,StrikePrice,FutPrice,Date,ProductCode,SettlementPrice,SettlementDate,DateTime,AtTheMoneyStrikePrice,AtTheMoneyPrice,Delta,Vega,NewPrice,NewDate,NumMatchingTrades,Intrinsic_Value,PnL_Early_Close,PnL_Settlement
2024-09-12 04:19:00,C,41.5,TXO22000I4,12.75,22000.0,21550.0,2024-09-12,202409,21619,2024-09-18,41900,21550.0,257.0,0.5104346101552214,11.37337950307206,279.88832487309645,2024-09-12,197,69.0,1095.5718274111682,-9456.85
2024-09-12 04:19:00,C,41.5,TXO22000I4,12.75,22000.0,21551.0,2024-09-12,202409,21619,2024-09-18,41900,21550.0,257.0,0.5104346101552214,11.37337950307206,279.88832487309645,2024-09-12,197,69.0,1095.5718274111682,-9456.85
2024-09-12 04:19:00,C,41.5,TXO22000I4,12.75,22000.0,21552.0,2024-09-12,202409,21619,2024-09-18,41900,21550.0,257.0,0.5104346101552214,11.37337950307206,279.88832487309645,2024-09-12,197,69.0,1095.5718274111682,-9456.85
2024-09-12 04:20:00,C,41.5,TXO22000I4,13.0,22000.0,21552.0,2024-09-12,202409,21619,2024-09-18,42000,21550.0,257.0,0.5104346101552214,11.37337950307206,279.88832487309645,2024-09-12,197,69.0,1095.5718274111682,-9456.85
2024-09-12 04:20:00,C,41.5,TXO22000I4,13.0,22000.0,21552.0,2024-09-12,202409,21619,2024-09-18,42000,21550.0,257.0,0.5104346101552214,11.37337950307206,279.88832487309645,2024-09-12,197,69.0,1095.5718274111682,-9456.85
2024-09-12 04:20:00,C,41.5,TXO22000I4,13.0,22000.0,21548.0,2024-09-12,202409,21619,2024-09-18,42000,21550.0,257.0,0.5104346101552214,11.37337950307206,279.88832487309645,2024-09-12,197,69.0,1095.5718274111682,-9456.85
2024-09-12 04:20:00,C,41.5,TXO22000I4,13.0,22000.0,21548.0,2024-09-12,202409,21619,2024-09-18,42000,21550.0,257.0,0.5104346101552214,11.37337950307206,279.88832487309645,2024-09-12,197,69.0,1095.5718274111682,-9456.85
2024-09-12 04:20:00,C,41.5,TXO22000I4,13.0,22000.0,21548.0,2024-09-12,202409,21619,2024-09-18,42000,21550.0,257.0,0.5104346101552214,11.37337950307206,279.88832487309645,2024-09-12,197,69.0,1095.5718274111682,-9456.85
2024-09-12 04:20:00,C,41.5,TXO22000I4,13.0,22000.0,21548.0,2024-09-12,202409,21619,2024-09-18,42000,21550.0,257.0,0.5104346101552214,11.37337950307206,279.88832487309645,2024-09-12,197,69.0,1095.5718274111682,-9456.85
2024-09-12 04:20:00,C,41.5,TXO22000I4,13.0,22000.0,21548.0,2024-09-12,202409,21619,2024-09-18,42000,21550.0,257.0,0.5104346101552214,11.37337950307206,279.88832487309645,2024-09-12,197,69.0,1095.5718274111682,-9456.85
2024-09-12 04:21:00,C,41.5,TXO22000I4,13.0,22000.0,21551.0,2024-09-12,202409,21619,2024-09-18,42100,21600.0,221.38095238095238,0.4738421727126607,11.347620127735171,249.57780784844385,2024-09-12,739,19.0,1364.2948353631045,-10174.116666666667
2024-09-12 04:21:00,C,41.5,TXO22000I4,13.0,22000.0,21551.0,2024-09-12,202409,21619,2024-09-18,42100,21600.0,221.38095238095238,0.4738421727126607,11.347620127735171,249.57780784844385,2024-09-12,739,19.0,1364.2948353631045,-10174.116666666667
2024-09-12 04:21:00,C,41.5,TXO22000I4,13.0,22000.0,21550.0,2024-09-12,202409,21619,2024-09-18,42100,21500.0,291.6470588235294,0.5362272421934793,11.32570388878997,310.66112266112265,2024-09-12,481,119.0,898.5877828054298,-8690.935294117648
2024-09-12 04:22:00,C,41.5,TXO22000I4,13.0,22000.0,21550.0,2024-09-12,202409,21619,2024-09-18,42200,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:22:00,C,41.5,TXO22000I4,13.0,22000.0,21551.0,2024-09-12,202409,21619,2024-09-18,42200,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:22:00,C,41.5,TXO22000I4,13.0,22000.0,21551.0,2024-09-12,202409,21619,2024-09-18,42200,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:22:00,C,41.5,TXO22000I4,13.0,22000.0,21551.0,2024-09-12,202409,21619,2024-09-18,42200,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:22:00,C,41.5,TXO22000I4,13.0,22000.0,21551.0,2024-09-12,202409,21619,2024-09-18,42200,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:22:00,C,41.5,TXO22000I4,13.0,22000.0,21551.0,2024-09-12,202409,21619,2024-09-18,42200,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:22:00,C,41.5,TXO22000I4,13.0,22000.0,21551.0,2024-09-12,202409,21619,2024-09-18,42200,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:22:00,C,42.5,TXO22000I4,13.0,22000.0,21550.0,2024-09-12,202409,21619,2024-09-18,42200,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:22:00,C,41.5,TXO22000I4,12.66666667,22000.0,21546.0,2024-09-12,202409,21619,2024-09-18,42200,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:22:00,C,41.5,TXO22000I4,12.66666667,22000.0,21546.0,2024-09-12,202409,21619,2024-09-18,42200,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:22:00,C,41.5,TXO22000I4,12.66666667,22000.0,21546.0,2024-09-12,202409,21619,2024-09-18,42200,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:22:00,C,41.5,TXO22000I4,13.0,22000.0,21546.0,2024-09-12,202409,21619,2024-09-18,42200,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:22:00,C,41.5,TXO22000I4,13.0,22000.0,21545.0,2024-09-12,202409,21619,2024-09-18,42200,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:22:00,C,41.5,TXO22000I4,12.66666667,22000.0,21545.0,2024-09-12,202409,21619,2024-09-18,42200,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:22:00,C,41.5,TXO22000I4,12.66666667,22000.0,21545.0,2024-09-12,202409,21619,2024-09-18,42200,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:22:00,C,41.5,TXO22000I4,12.66666667,22000.0,21546.0,2024-09-12,202409,21619,2024-09-18,42200,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:23:00,C,41.5,TXO22000I4,13.0,22000.0,21546.0,2024-09-12,202409,21619,2024-09-18,42300,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:23:00,C,41.5,TXO22000I4,12.66666667,22000.0,21546.0,2024-09-12,202409,21619,2024-09-18,42300,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:23:00,C,41.5,TXO22000I4,12.66666667,22000.0,21546.0,2024-09-12,202409,21619,2024-09-18,42300,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:23:00,C,41.5,TXO22000I4,12.66666667,22000.0,21546.0,2024-09-12,202409,21619,2024-09-18,42300,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:23:00,C,41.5,TXO22000I4,13.0,22000.0,21546.0,2024-09-12,202409,21619,2024-09-18,42300,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:23:00,C,41.5,TXO22000I4,13.0,22000.0,21545.0,2024-09-12,202409,21619,2024-09-18,42300,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:23:00,C,41.5,TXO22000I4,13.0,22000.0,21546.0,2024-09-12,202409,21619,2024-09-18,42300,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:23:00,C,41.5,TXO22000I4,13.0,22000.0,21546.0,2024-09-12,202409,21619,2024-09-18,42300,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:23:00,C,41.5,TXO22000I4,13.0,22000.0,21544.0,2024-09-12,202409,21619,2024-09-18,42300,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:23:00,C,41.5,TXO22000I4,13.0,22000.0,21543.0,2024-09-12,202409,21619,2024-09-18,42300,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:23:00,C,41.5,TXO22000I4,13.0,22000.0,21543.0,2024-09-12,202409,21619,2024-09-18,42300,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:23:00,C,41.5,TXO22000I4,13.0,22000.0,21543.0,2024-09-12,202409,21619,2024-09-18,42300,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:23:00,C,41.5,TXO22000I4,13.0,22000.0,21540.0,2024-09-12,202409,21619,2024-09-18,42300,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:23:00,C,41.5,TXO22000I4,13.0,22000.0,21540.0,2024-09-12,202409,21619,2024-09-18,42300,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:23:00,C,41.5,TXO22000I4,13.0,22000.0,21540.0,2024-09-12,202409,21619,2024-09-18,42300,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-12 04:23:00,C,41.5,TXO22000I4,13.0,22000.0,21540.0,2024-09-12,202409,21619,2024-09-18,42300,21550.0,253.0,0.5066914756058867,11.369043673041304,279.88832487309645,2024-09-12,197,69.0,1295.771827411168,-9256.65
2024-09-17 04:35:00,P,6.9,TXO20950U4,11.0,20950.0,21743.0,2024-09-17,202409,21619,2024-09-18,43500,21750.0,102.15384615384616,-0.5128788968290678,5.329204536864657,52.10568720379147,2024-09-18,1055,131.0,-2532.120924170616,1393.2
2024-09-19 04:02:00,C,100.0,TX422050I4,16.0,22050.0,21608.0,2024-09-19,202409W4,22749,2024-09-25,40200,21600.0,290.0,0.5119648330699844,11.411488844963388,344.35483870967744,2024-09-19,62,1149.0,2664.0241935483864,42890.5
2024-09-19 04:02:00,C,95.0,TX422050I4,16.0,22050.0,21608.0,2024-09-19,202409W4,22749,2024-09-25,40200,21600.0,290.0,0.5119648330699844,11.411488844963388,344.35483870967744,2024-09-19,62,1149.0,2664.0241935483864,42890.5
2024-09-20 04:03:00,P,38.0,TX421900U4,13.0,21900.0,22362.0,2024-09-20,202409W4,22749,2024-09-25,40300,22350.0,185.0,-0.4803816445332501,10.841950121760242,183.01226993865032,2024-09-20,163,0.0,-139.78711656441737,-9304.25
2024-09-20 04:03:00,P,37.5,TX421900U4,13.0,21900.0,22362.0,2024-09-20,202409W4,22749,2024-09-25,40300,22350.0,185.0,-0.4803816445332501,10.841950121760242,183.01226993865032,2024-09-20,163,0.0,-139.78711656441737,-9304.25
2024-09-20 04:04:00,P,39.0,TX421900U4,13.0,21900.0,22355.0,2024-09-20,202409W4,22749,2024-09-25,40400,22400.0,210.0,-0.5220006840642393,10.8351657207311,207.37254901960785,2024-09-20,153,0.0,-174.24117647058847,-10555.5
2024-09-20 04:04:00,P,38.5,TX421900U4,13.0,21900.0,22355.0,2024-09-20,202409W4,22749,2024-09-25,40400,22400.0,210.0,-0.5220006840642393,10.8351657207311,207.37254901960785,2024-09-20,153,0.0,-174.24117647058847,-10555.5
2024-09-20 04:04:00,P,30.0,TX421850U4,12.5,21850.0,22361.0,2024-09-20,202409W4,22749,2024-09-25,40400,22400.0,210.0,-0.5220006840642393,10.8351657207311,207.37254901960785,2024-09-20,153,0.0,-174.24117647058847,-10555.5
2024-09-20 04:04:00,P,30.0,TX421850U4,12.5,21850.0,22361.0,2024-09-20,202409W4,22749,2024-09-25,40400,22400.0,210.0,-0.5220006840642393,10.8351657207311,207.37254901960785,2024-09-20,153,0.0,-174.24117647058847,-10555.5
2024-09-20 04:04:00,P,30.0,TX421850U4,12.5,21850.0,22360.0,2024-09-20,202409W4,22749,2024-09-25,40400,22400.0,210.0,-0.5220006840642393,10.8351657207311,207.37254901960785,2024-09-20,153,0.0,-174.24117647058847,-10555.5
2024-09-20 04:04:00,P,30.0,TX421850U4,12.5,21850.0,22360.0,2024-09-20,202409W4,22749,2024-09-25,40400,22400.0,210.0,-0.5220006840642393,10.8351657207311,207.37254901960785,2024-09-20,153,0.0,-174.24117647058847,-10555.5
2024-09-20 04:04:00,P,38.0,TX421900U4,13.0,21900.0,22359.0,2024-09-20,202409W4,22749,2024-09-25,40400,22400.0,210.0,-0.5220006840642393,10.8351657207311,207.37254901960785,2024-09-20,153,0.0,-174.24117647058847,-10555.5
2024-09-20 04:04:00,P,38.0,TX421900U4,13.0,21900.0,22359.0,2024-09-20,202409W4,22749,2024-09-25,40400,22400.0,210.0,-0.5220006840642393,10.8351657207311,207.37254901960785,2024-09-20,153,0.0,-174.24117647058847,-10555.5
2024-09-20 04:04:00,P,30.0,TX421850U4,12.5,21850.0,22357.0,2024-09-20,202409W4,22749,2024-09-25,40400,22400.0,210.0,-0.5220006840642393,10.8351657207311,207.37254901960785,2024-09-20,153,0.0,-174.24117647058847,-10555.5
2024-09-20 04:04:00,P,30.0,TX421850U4,12.5,21850.0,22357.0,2024-09-20,202409W4,22749,2024-09-25,40400,22400.0,210.0,-0.5220006840642393,10.8351657207311,207.37254901960785,2024-09-20,153,0.0,-174.24117647058847,-10555.5
2024-09-20 04:04:00,P,30.5,TX421850U4,12.5,21850.0,22355.0,2024-09-20,202409W4,22749,2024-09-25,40400,22400.0,210.0,-0.5220006840642393,10.8351657207311,207.37254901960785,2024-09-20,153,0.0,-174.24117647058847,-10555.5
2024-09-20 04:04:00,P,30.5,TX421850U4,12.5,21850.0,22355.0,2024-09-20,202409W4,22749,2024-09-25,40400,22400.0,210.0,-0.5220006840642393,10.8351657207311,207.37254901960785,2024-09-20,153,0.0,-174.24117647058847,-10555.5
2024-09-20 04:04:00,P,38.5,TX421900U4,13.0,21900.0,22355.0,2024-09-20,202409W4,22749,2024-09-25,40400,22400.0,210.0,-0.5220006840642393,10.8351657207311,207.37254901960785,2024-09-20,153,0.0,-174.24117647058847,-10555.5
2024-09-20 04:04:00,P,38.5,TX421900U4,13.0,21900.0,22355.0,2024-09-20,202409W4,22749,2024-09-25,40400,22400.0,210.0,-0.5220006840642393,10.8351657207311,207.37254901960785,2024-09-20,153,0.0,-174.24117647058847,-10555.5
2024-09-20 04:04:00,P,30.5,TX421850U4,12.5,21850.0,22358.0,2024-09-20,202409W4,22749,2024-09-25,40400,22400.0,210.0,-0.5220006840642393,10.8351657207311,207.37254901960785,2024-09-20,153,0.0,-174.24117647058847,-10555.5
2024-09-20 04:04:00,P,30.5,TX421850U4,12.5,21850.0,22358.0,2024-09-20,202409W4,22749,2024-09-25,40400,22400.0,210.0,-0.5220006840642393,10.8351657207311,207.37254901960785,2024-09-20,153,0.0,-174.24117647058847,-10555.5
2024-09-20 04:04:00,P,30.5,TX421850U4,12.5,21850.0,22355.0,2024-09-20,202409W4,22749,2024-09-25,40400,22400.0,210.0,-0.5220006840642393,10.8351657207311,207.37254901960785,2024-09-20,153,0.0,-174.24117647058847,-10555.5
