,IAccountID,BS,CommodityId,TradeDate,TradeTime,Qty,Price
257,PCP,S,TXO17100A4,2024/1/15,2024/1/15 08:56,2,555
258,PCP,S,TXO17100A4,2024/1/15,2024/1/15 08:56,1,555
259,PCP,B,MXFA4,2024/1/15,2024/1/15 08:56,1,17644
260,PCP,B,TXO17100M4,2024/1/15,2024/1/15 08:56,1,3.6
261,PCP,B,MXFA4,2024/1/15,2024/1/15 08:56,1,17642
262,PCP,B,TXO17100M4,2024/1/15,2024/1/15 08:56,1,3.6
263,PCP,S,TXO17100A4,2024/1/15,2024/1/15 08:56,1,550
264,PCP,B,TXO17100A4,2024/1/15,2024/1/15 08:58,2,500
265,PCP,S,MXFA4,2024/1/15,2024/1/15 08:58,2,17597
266,PCP,S,TXO17100M4,2024/1/15,2024/1/15 08:58,2,3.6
267,PCP,S,TXO18400M4,2024/1/15,2024/1/15 09:00,1,810
268,PCP,S,MXFA4,2024/1/15,2024/1/15 09:00,1,17598
269,PCP,B,TXO18400A4,2024/1/15,2024/1/15 09:00,1,0.5
270,PCP,B,MXFA4,2024/1/15,2024/1/15 09:03,1,17608
271,PCP,B,TXO17050M4,2024/1/15,2024/1/15 09:03,1,3.5
272,PCP,S,TXO17050A4,2024/1/15,2024/1/15 09:03,1,565
273,PCP,B,MXFA4,2024/1/15,2024/1/15 10:24,1,17606
274,PCP,B,TXO17000M4,2024/1/15,2024/1/15 10:24,1,1.7
275,PCP,S,TXO17000A4,2024/1/15,2024/1/15 10:24,1,615
276,PCP,S,TXO17000A4,2024/1/15,2024/1/15 10:24,1,615
277,PCP,B,MXFA4,2024/1/15,2024/1/15 10:24,1,17606
278,PCP,B,TXO17000M4,2024/1/15,2024/1/15 10:24,1,1.7
279,PCP,B,MXFA4,2024/1/15,2024/1/15 10:25,1,17608
280,PCP,B,TXO17000M4,2024/1/15,2024/1/15 10:25,1,1.6
281,PCP,S,TXO17000A4,2024/1/15,2024/1/15 10:25,1,615
282,PCP,B,TXO17000M4,2024/1/15,2024/1/15 10:26,1,1.7
283,PCP,S,TXO17000A4,2024/1/15,2024/1/15 10:26,1,615
284,PCP,B,MXFA4,2024/1/15,2024/1/15 10:26,1,17609
285,PCP,S,TXO17000A4,2024/1/15,2024/1/15 10:27,1,610
286,PCP,B,MXFA4,2024/1/15,2024/1/15 10:27,1,17604
287,PCP,B,TXO17000M4,2024/1/15,2024/1/15 10:27,1,1.7
288,PCP,B,TXO17100A4,2024/1/15,2024/1/15 13:07,2,466
289,PCP,S,MXFA4,2024/1/15,2024/1/15 13:07,2,17564
290,PCP,S,TXO17100M4,2024/1/15,2024/1/15 13:07,2,2.6
291,PCP,B,TXO17100A4,2024/1/15,2024/1/15 13:07,2,465
292,PCP,S,MXFA4,2024/1/15,2024/1/15 13:07,2,17562
293,PCP,S,TXO17100M4,2024/1/15,2024/1/15 13:07,2,2.6
294,PCP,B,TXO17100A4,2024/1/15,2024/1/15 13:30,2,461
295,PCP,S,MXFA4,2024/1/15,2024/1/15 13:30,2,17558
296,PCP,S,TXO17100M4,2024/1/15,2024/1/15 13:30,2,2.8
297,PCP,B,MXFA4,2024/1/16,2024/1/16 09:08,1,17364
298,PCP,S,TXO17900A4,2024/1/16,2024/1/16 09:08,1,0.9
299,PCP,B,TXO17900M4,2024/1/16,2024/1/16 09:08,1,530
300,PCP,S,TXO18000M4,2024/1/16,2024/1/16 09:08,1,635
301,PCP,S,MXFA4,2024/1/16,2024/1/16 09:08,1,17372
302,PCP,B,TXO18000A4,2024/1/16,2024/1/16 09:08,1,0.5
303,PCP,S,TXO18000M4,2024/1/16,2024/1/16 09:08,1,635
304,PCP,S,MXFA4,2024/1/16,2024/1/16 09:08,1,17370
305,PCP,B,TXO18000A4,2024/1/16,2024/1/16 09:08,1,0.5
306,PCP,B,MXFA4,2024/1/16,2024/1/16 09:08,2,17371
307,PCP,S,TXO18000A4,2024/1/16,2024/1/16 09:08,2,0.4
308,PCP,B,TXO18000M4,2024/1/16,2024/1/16 09:08,2,625
309,PCP,B,TXO17900M4,2024/1/16,2024/1/16 09:11,3,525
310,PCP,B,MXFA4,2024/1/16,2024/1/16 09:11,3,17371
311,PCP,S,TXO17900A4,2024/1/16,2024/1/16 09:11,3,0.8
312,PCP,B,TXO17900M4,2024/1/16,2024/1/16 09:27,3,525
313,PCP,B,MXFA4,2024/1/16,2024/1/16 09:27,3,17372
314,PCP,S,TXO17900A4,2024/1/16,2024/1/16 09:27,1,0.8
315,PCP,S,TXO17900A4,2024/1/16,2024/1/16 09:27,2,0.7
316,PCP,B,TXO17900M4,2024/1/16,2024/1/16 09:28,1,525
317,PCP,B,MXFA4,2024/1/16,2024/1/16 09:28,1,17372
318,PCP,S,TXO17900A4,2024/1/16,2024/1/16 09:28,1,0.7
319,PCP,B,TXO17900M4,2024/1/16,2024/1/16 09:35,1,530
320,PCP,B,MXFA4,2024/1/16,2024/1/16 09:35,1,17366
321,PCP,S,TXO17900A4,2024/1/16,2024/1/16 09:35,1,0.7
322,PCP,S,MXFA4,2024/1/16,2024/1/16 11:13,1,17412
323,PCP,B,TXO18000A4,2024/1/16,2024/1/16 11:13,1,0.5
324,PCP,S,TXO18000M4,2024/1/16,2024/1/16 11:13,1,595
325,PCP,S,MXFA4,2024/1/16,2024/1/16 11:26,1,17429
326,PCP,B,TXO18000A4,2024/1/16,2024/1/16 11:26,1,0.5
327,PCP,S,TXO18000M4,2024/1/16,2024/1/16 11:26,1,575
328,PCP,B,TXO18000M4,2024/1/16,2024/1/16 12:12,2,590
329,PCP,B,MXFA4,2024/1/16,2024/1/16 12:12,2,17406
330,PCP,S,TXO18000A4,2024/1/16,2024/1/16 12:12,2,0.3
331,PCP,S,TXO17900M4,2024/1/16,2024/1/16 13:22,1,530
332,PCP,S,MXFA4,2024/1/16,2024/1/16 13:22,1,17379
333,PCP,B,TXO17900A4,2024/1/16,2024/1/16 13:22,1,0.6
334,PCP,S,TXO17900M4,2024/1/17,2024/1/17 09:08,1,615
335,PCP,B,TXO17900A4,2024/1/17,2024/1/17 09:08,1,0.4
336,PCP,S,MXFA4,2024/1/17,2024/1/17 09:08,1,17290
337,PCP,B,TXO17900M4,2024/1/17,2024/1/17 09:27,1,575
338,PCP,B,MXFA4,2024/1/17,2024/1/17 09:27,1,17317
339,PCP,S,TXO17900A4,2024/1/17,2024/1/17 09:27,1,0.2
340,PCP,S,TXO18600M4,2024/1/17,2024/1/17 11:21,1,1380
341,PCP,S,MXFA4,2024/1/17,2024/1/17 11:21,1,17225
342,PCP,B,TXO18600A4,2024/1/17,2024/1/17 11:21,1,0.2
343,PCP,S,MXFA4,2024/1/17,2024/1/17 11:23,1,17226
344,PCP,B,TXO18500A4,2024/1/17,2024/1/17 11:23,1,0.5
345,PCP,S,TXO18500M4,2024/1/17,2024/1/17 11:23,1,1280
346,PCP,S,TXO18500M4,2024/1/17,2024/1/17 11:23,1,1280
347,PCP,S,MXFA4,2024/1/17,2024/1/17 11:23,1,17225
348,PCP,B,TXO18500A4,2024/1/17,2024/1/17 11:23,1,0.5
349,PCP,S,MXFA4,2024/1/17,2024/1/17 11:24,1,17229
350,PCP,B,TXO18500A4,2024/1/17,2024/1/17 11:24,1,0.5
351,PCP,S,TXO18500M4,2024/1/17,2024/1/17 11:24,1,1280
352,PCP,S,TXO18300M4,2024/1/17,2024/1/17 11:29,1,1080
353,PCP,S,MXFA4,2024/1/17,2024/1/17 11:29,1,17229
354,PCP,B,TXO18300A4,2024/1/17,2024/1/17 11:29,1,0.4
355,PCP,S,MXFA4,2024/1/17,2024/1/17 11:29,1,17229
356,PCP,B,TXO18300A4,2024/1/17,2024/1/17 11:29,1,0.4
357,PCP,S,TXO18300M4,2024/1/17,2024/1/17 11:29,1,1080
